ldn
"ManagedElement=1,ENodeBFunction=1,EUtranCellFDD=test2,EUtranFreqRelation=1,EUtranCellRelation=1"
"ManagedElement=1,ENodeBFunction=1,EUtranCellFDD=test1,EUtranFreqRelation=1,EUtranCellRelation=1"
"ManagedElement=1,ENodeBFunction=1,EUtranCellFDD=test1"
"ManagedElement=1,ENodeBFunction=1,EUtranCellFDD=test2"
"ManagedElement=1,ENodeBFunction=1,EUtraNetwork=1,ExternalENodeBFunction=LTE01DOOZER01"
"ManagedElement=1,ENodeBFunction=1,EUtraNetwork=1,ExternalENodeBFunction=LTE01DOOZER02"
"ManagedElement=1,ENodeBFunction=1,Cdma2000Network=1,Cdma2000FreqBand=10"
"ManagedElement=1,ENodeBFunction=1,EUtraNetwork=1,EUtranFrequency=test1"
"ManagedElement=1,ENodeBFunction=1,GeraNetwork=1,GeranFreqGroup=101"
"ManagedElement=1,ENodeBFunction=1,GeraNetwork=1,GeranFreqGroup=102"
"ManagedElement=1,ENodeBFunction=1,GeraNetwork=1,GeranFreqGroup=103"
"ManagedElement=1,ENodeBFunction=1,UtraNetwork=1,UtranFrequency=100"
"ManagedElement=1,ENodeBFunction=1,UtraNetwork=1,UtranFrequency=101"
"ManagedElement=1,ENodeBFunction=1,SectorCarrier=200"
"ManagedElement=1,ENodeBFunction=1,SectorCarrier=201"
"ManagedElement=1,SectorEquipmentFunction=200"
"ManagedElement=1,SectorEquipmentFunction=201"
